Id;Namn;Ägare;Nät;Latitud;Longitud;Höjd (m);Från;Till;Aktiv;Mobil;Vattendrag;Vattendragsnr;Area (km²)
142030;Björkede;SMHI;SMHIs stationsnät;64,0432;12,9414;451;1951-01-01;1980-06-01;Nej;Nej;undefined;NaN;NaN
163680;Björkfors;SMHI;SMHIs stationsnät;65,9166;23,4666;10;1945-01-01;1963-07-01;Nej;Nej;undefined;NaN;NaN
107040;Björklinge;SMHI;SMHIs stationsnät;60,0514;17,5667;31;1953-04-01;1955-01-01;Nej;Nej;undefined;NaN;NaN
178820;Björkudden;SMHI;SMHIs stationsnät;67,3936;18,7131;380,481;2004-04-01;2026-02-10;Ja;Ja;undefined;NaN;NaN
83640;Björnegården;SMHI;SMHIs stationsnät;58,5166;13,0666;75;1949-01-01;1963-04-01;Nej;Nej;undefined;NaN;NaN
155710;Blaikliden;SMHI;SMHIs stationsnät;65,0464;15,7486;520;1978-06-01;2000-07-01;Nej;Nej;undefined;NaN;NaN
75140;Blankaström;SMHI;SMHIs stationsnät;57,2166;15,9166;80;1945-01-01;1977-06-01;Nej;Nej;undefined;NaN;NaN
92170;Blomskog;SMHI;SMHIs stationsnät;59,2891;12,0542;110;1964-10-01;1996-01-01;Nej;Nej;undefined;NaN;NaN
92130;Blomskog A;SMHI;SMHIs stationsnät;59,2213;12,0754;169,645;1995-08-01;2026-02-10;Ja;Ja;undefined;NaN;NaN
132110;Blåhammaren A;SMHI;SMHIs stationsnät;63,1854;12,1734;1 086,952;2010-10-01;2026-02-10;Ja;Ja;undefined;NaN;NaN
78050;Bobbenarve;SMHI;SMHIs stationsnät;57,0333;18,2833;8;1945-01-01;1956-02-01;Nej;Nej;undefined;NaN;NaN
161940;Boden;Försvarsmakten;SMHIs stationsnät;65,8140;21,6350;25,2;1945-01-01;2026-02-10;Ja;Ja;undefined;NaN;NaN
170630;Bodträskfors;SMHI;SMHIs stationsnät;66,0792;20,9250;30;1945-01-01;1946-04-01;Nej;Nej;undefined;NaN;NaN
155900;Boksjö;SMHI;SMHIs stationsnät;65,6772;15,8245;475;1969-08-01;2015-02-02;Nej;Nej;undefined;NaN;NaN
72400;Bollebygd;SMHI;SMHIs stationsnät;57,6610;12,5521;65;1945-01-01;1987-01-01;Nej;Nej;undefined;NaN;NaN
54300;Bollerup;SMHI;SMHIs stationsnät;55,4926;14,0395;57,568;1945-01-01;2021-06-01;Nej;Nej;undefined;NaN;NaN
83170;Borgunda;SMHI;SMHIs stationsnät;58,2880;13,7995;181;1971-02-01;1996-02-01;Nej;Nej;undefined;NaN;NaN
105310;Borlänge;SMHI;SMHIs stationsnät;60,5020;15,4606;120;1974-04-01;1978-05-01;Nej;Nej;undefined;NaN;NaN
105280;Borlänge Aut;SMHI;SMHIs stationsnät;60,4889;15,4324;140;1987-07-01;1999-04-01;Nej;Nej;undefined;NaN;NaN
